encoder,decoder,dataset,seed,latency_ms_per_image,peak_memory_MB,total_params_M,trainable_params_M,flops_G,flops_source,n_warmup,n_timed,device_used,test_dice,test_iou
convnext,xboundformer,tn3k,3,6.833,608.59,55.498,55.498,9.723,fvcore,5,20,cuda,0.8281913283583405,0.7446208294335898
convnext,xboundformer,tn3k,4,6.859,608.59,55.498,55.498,9.723,fvcore,5,20,cuda,0.8278018917356219,0.7410039390836444
pvt,bat,busi,0,4.503,304.22,32.632,32.632,5.334,fvcore,5,20,cuda,0.8170178287169513,0.7260799618328319
pvt,bat,busi,1,4.433,304.22,32.632,32.632,5.334,fvcore,5,20,cuda,0.8060996918117299,0.7130471327725578
pvt,bat,busi,2,4.529,304.22,32.632,32.632,5.334,fvcore,5,20,cuda,0.8130594667266396,0.7183712440378526
pvt,bat,busi,3,4.565,304.22,32.632,32.632,5.334,fvcore,5,20,cuda,0.8037688276346993,0.7046483088942135
pvt,bat,busi,4,4.416,304.22,32.632,32.632,5.334,fvcore,5,20,cuda,0.8034938293344834,0.7079059937421013
pvt,bat,isic2018,0,4.971,304.22,32.632,32.632,5.334,fvcore,5,20,cuda,0.895108960225032,0.8217425529773419
pvt,bat,isic2018,1,4.446,304.22,32.632,32.632,5.334,fvcore,5,20,cuda,0.8964285318668072,0.825209680887369
pvt,bat,isic2018,2,4.479,304.22,32.632,32.632,5.334,fvcore,5,20,cuda,0.8945940687106206,0.8218300590148339
pvt,bat,isic2018,3,4.58,304.22,32.632,32.632,5.334,fvcore,5,20,cuda,0.8878533500891466,0.8141409195386446
pvt,bat,isic2018,4,4.424,304.22,32.632,32.632,5.334,fvcore,5,20,cuda,0.8942113674603975,0.8218787578436044
pvt,bat,polyp_kvasir,0,4.443,304.22,32.632,32.632,5.334,fvcore,5,20,cuda,0.905319135922652,0.846496962583982
pvt,bat,polyp_kvasir,1,4.447,304.22,32.632,32.632,5.334,fvcore,5,20,cuda,0.902995242522313,0.8428490161895752
pvt,bat,polyp_kvasir,2,4.416,304.22,32.632,32.632,5.334,fvcore,5,20,cuda,0.9058517676133376,0.8480545053115258
pvt,bat,polyp_kvasir,3,4.446,304.22,32.632,32.632,5.334,fvcore,5,20,cuda,0.897008845439324,0.8331509782717779
pvt,bat,polyp_kvasir,4,4.435,304.22,32.632,32.632,5.334,fvcore,5,20,cuda,0.9038058244265043,0.842233786216149
pvt,bat,tn3k,0,4.494,304.22,32.632,32.632,5.334,fvcore,5,20,cuda,0.8286263989163684,0.742677272914292
pvt,bat,tn3k,1,4.449,304.22,32.632,32.632,5.334,fvcore,5,20,cuda,0.827460388858597,0.7400787968140143
pvt,bat,tn3k,2,4.458,304.22,32.632,32.632,5.334,fvcore,5,20,cuda,0.8376457265445164,0.7533589377031698
pvt,bat,tn3k,3,4.436,304.22,32.632,32.632,5.334,fvcore,5,20,cuda,0.8257584796323405,0.7402111783430174
pvt,bat,tn3k,4,4.443,304.22,32.632,32.632,5.334,fvcore,5,20,cuda,0.8336136333354107,0.7490125971955138
pvt,boundformer,busi,0,7.167,352.34,25.239,25.239,5.468,fvcore,5,20,cuda,0.714772014056935,0.6043685709728914
pvt,boundformer,busi,1,7.176,352.34,25.239,25.239,5.468,fvcore,5,20,cuda,0.7138038768487818,0.6007782396148232
pvt,boundformer,busi,2,7.079,352.34,25.239,25.239,5.468,fvcore,5,20,cuda,0.7089378693524528,0.594804329030654
pvt,boundformer,busi,3,7.136,352.34,25.239,25.239,5.468,fvcore,5,20,cuda,0.7523432338938993,0.6449953124803656
pvt,boundformer,busi,4,7.146,352.34,25.239,25.239,5.468,fvcore,5,20,cuda,0.7037824217010947,0.588027834892273
pvt,boundformer,isic2018,0,7.726,352.34,25.239,25.239,5.468,fvcore,5,20,cuda,0.8657478983585651,0.7775071217463567
pvt,boundformer,isic2018,1,7.237,352.34,25.239,25.239,5.468,fvcore,5,20,cuda,0.8556259815509503,0.7647463477574862
pvt,boundformer,isic2018,2,7.116,352.34,25.239,25.239,5.468,fvcore,5,20,cuda,0.8544914621573229,0.763002821115347
pvt,boundformer,isic2018,3,7.097,352.34,25.239,25.239,5.468,fvcore,5,20,cuda,0.8598309801175044,0.7724724384454581
pvt,boundformer,isic2018,4,7.159,352.34,25.239,25.239,5.468,fvcore,5,20,cuda,0.8658850642351004,0.7776887398499709
pvt,boundformer,polyp_kvasir,0,7.201,352.34,25.239,25.239,5.468,fvcore,5,20,cuda,0.8397735632382907,0.7501043952428378
pvt,boundformer,polyp_kvasir,1,7.331,352.34,25.239,25.239,5.468,fvcore,5,20,cuda,0.8333862515596243,0.7471991502321683
pvt,boundformer,polyp_kvasir,2,7.153,352.34,25.239,25.239,5.468,fvcore,5,20,cuda,0.8521224031081567,0.7662424353452829
pvt,boundformer,polyp_kvasir,3,7.179,352.34,25.239,25.239,5.468,fvcore,5,20,cuda,0.8344381084808936,0.7435737802432134
pvt,boundformer,polyp_kvasir,4,7.269,352.34,25.239,25.239,5.468,fvcore,5,20,cuda,0.8363769558759836,0.7502134763277494
pvt,boundformer,tn3k,0,7.281,352.34,25.239,25.239,5.468,fvcore,5,20,cuda,0.7786176568501956,0.6837126403659969
pvt,boundformer,tn3k,1,7.808,352.34,25.239,25.239,5.468,fvcore,5,20,cuda,0.7764154703586132,0.6800058468595728
pvt,boundformer,tn3k,2,7.379,352.34,25.239,25.239,5.468,fvcore,5,20,cuda,0.7842387123541399,0.6917341150246658
pvt,boundformer,tn3k,3,7.077,352.34,25.239,25.239,5.468,fvcore,5,20,cuda,0.7865078155096475,0.6926644498651678
pvt,boundformer,tn3k,4,7.166,352.34,25.239,25.239,5.468,fvcore,5,20,cuda,0.7862475622784008,0.6942429093571453
pvt,xboundformer,busi,0,9.017,580.99,52.371,52.371,9.196,fvcore,5,20,cuda,0.8107288725235883,0.7156002907192006
pvt,xboundformer,busi,1,8.863,580.99,52.371,52.371,9.196,fvcore,5,20,cuda,0.8130598839591531,0.7191550766720491
pvt,xboundformer,busi,2,8.929,580.99,52.371,52.371,9.196,fvcore,5,20,cuda,0.8019192464211408,0.7046484351158142
pvt,xboundformer,busi,3,8.979,580.99,52.371,52.371,9.196,fvcore,5,20,cuda,0.8056930093204274,0.7090224378249225
